date,Uopen,Ulow,Uhigh,Uclose
"Jan 29, 2021",3828,3801,3888,3820
"Jan 28, 2021",3854,3818,3919,3827
"Jan 27, 2021",3858,3802,3904,3893
"Jan 25, 2021",3822,3793,3869,3839
"Jan 22, 2021",3859,3769,3865,3835
"Jan 21, 2021",3885,3862,3907,3894
"Jan 20, 2021",3919,3889,3942,3910
"Jan 19, 2021",3823,3817,3890,3872
"Jan 18, 2021",3819,3801,3852,3813
"Jan 15, 2021",3911,3794,3918,3825
"Jan 14, 2021",3868,3823,3909,3899
"Jan 13, 2021",3902,3850,3976,3871
"Jan 12, 2021",3839,3832,3903,3886
"Jan 11, 2021",3810,3791,3856,3847
"Jan 08, 2021",3749,3738,3808,3802
"Jan 07, 2021",3733,3706,3755,3738
"Jan 06, 2021",3673,3626,3727,3721
"Jan 05, 2021",3504,3466,3675,3664
"Jan 04, 2021",3583,3457,3643,3494
"Jan 01, 2021",3533,3511,3559,3527
"Dec 31, 2020",3534,3498,3546,3524
"Dec 30, 2020",3548,3493,3566,3518
"Dec 29, 2020",3525,3502,3557,3527
"Dec 28, 2020",3548,3528,3608,3540
"Dec 24, 2020",3569,3506,3590,3554
"Dec 23, 2020",3449,3419,3590,3566
"Dec 22, 2020",3540,3455,3552,3484
"Dec 18, 2020",3556,3529,3616,3596
"Dec 17, 2020",3555,3520,3572,3547
"Dec 16, 2020",3497,3474,3530,3520
"Dec 15, 2020",3450,3430,3513,3490
"Dec 14, 2020",3445,3368,3491,3435
"Dec 11, 2020",3455,3421,3480,3439
"Dec 10, 2020",3377,3360,3522,3477
"Dec 09, 2020",3350,3318,3407,3377
"Dec 08, 2020",3368,3331,3389,3371
"Dec 07, 2020",3399,3358,3436,3426
"Dec 04, 2020",3430,3374,3449,3407
"Dec 03, 2020",3350,3305,3394,3385
"Dec 02, 2020",3251,3244,3391,3359
"Dec 01, 2020",3327,3252,3369,3287
"Nov 30, 2020",3331,3310,3398,3326
"Nov 27, 2020",3328,3299,3391,3357
"Nov 26, 2020",3404,3306,3404,3324
"Nov 25, 2020",3369,3337,3415,3400
"Nov 24, 2020",3227,3209,3355,3333
"Nov 23, 2020",3150,3150,3219,3195
"Nov 20, 2020",3129,3097,3149,3129
"Nov 19, 2020",3098,3046,3109,3078
"Nov 18, 2020",3072,3064,3148,3124
"Nov 17, 2020",3094,3023,3108,3049
"Nov 16, 2020",3057,3054,3134,3074
"Nov 14, 2020",2972,2972,3012,3007
"Nov 13, 2020",3048,2994,3049,3007
"Nov 12, 2020",3117,3064,3150,3123
"Nov 11, 2020",3116,3090,3204,3124
"Nov 10, 2020",2955,2931,3076,3058
"Nov 09, 2020",2796,2796,3048,3001
"Nov 06, 2020",2825,2744,2860,2766
"Nov 05, 2020",2878,2838,2916,2871
"Nov 04, 2020",2850,2793,2913,2897
"Nov 03, 2020",2748,2721,2858,2820
"Nov 02, 2020",2573,2540,2745,2731
"Oct 30, 2020",2691,2630,2729,2642
"Oct 29, 2020",2776,2606,2794,2698
"Oct 28, 2020",2887,2743,2887,2772
"Oct 27, 2020",2869,2843,2943,2934
"Oct 26, 2020",2896,2836,2902,2846
"Oct 23, 2020",3006,2926,3019,2939
"Oct 22, 2020",2925,2925,3026,2998
"Oct 21, 2020",3053,2932,3058,2950
"Oct 20, 2020",3010,2981,3055,3045
"Oct 19, 2020",2988,2966,3029,2998
"Oct 16, 2020",2968,2938,3025,2995
"Oct 15, 2020",3011,2881,3016,2994
"Oct 14, 2020",2938,2918,3017,3004
"Oct 13, 2020",2894,2886,2979,2958
"Oct 12, 2020",2951,2865,2951,2889
"Oct 09, 2020",3007,2947,3032,2960
"Oct 08, 2020",2932,2925,3032,3025
"Oct 07, 2020",2935,2881,2965,2916
"Oct 06, 2020",2889,2873,2999,2972
"Oct 05, 2020",2790,2760,2907,2899
"Oct 01, 2020",2952,2758,2973,2837
"Sep 30, 2020",2875,2855,2948,2934
"Sep 29, 2020",2975,2837,2995,2877
"Sep 28, 2020",2952,2932,3009,2989
"Sep 25, 2020",2992,2934,3004,2969
"Sep 24, 2020",2918,2905,2979,2973
"Sep 23, 2020",2956,2894,3004,2947
"Sep 22, 2020",2921,2886,2966,2920
"Sep 21, 2020",3022,2835,3029,2857
"Sep 18, 2020",3035,2966,3042,2993
"Sep 17, 2020",2920,2904,3034,3024
"Sep 16, 2020",2845,2845,2959,2940
"Sep 15, 2020",2738,2727,2844,2828
"Sep 14, 2020",2769,2705,2769,2748
